               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035272,            0.046666,           0.0026535,             0.55468,             0.69615,             0.60662,             0.37845,            0.036731,            0.068995,           0.0034677,             0.00538,             0.00538,             0.00538
                  37,            0.034795,            0.047525,           0.0024918,             0.56416,             0.67599,             0.59546,             0.36291,            0.038846,            0.073125,           0.0034829,            0.005248,            0.005248,            0.005248
                  38,            0.034541,            0.047517,           0.0025962,             0.56139,             0.67588,             0.59174,             0.34888,            0.037831,            0.070547,           0.0029886,            0.005116,            0.005116,            0.005116
                  39,            0.035677,            0.047053,           0.0026559,             0.54414,             0.65624,             0.58705,             0.35702,            0.037623,            0.075945,            0.003125,            0.004984,            0.004984,            0.004984
                  40,            0.033396,             0.04378,            0.002385,             0.55272,             0.67086,              0.6008,             0.35047,            0.037824,            0.073235,           0.0033056,            0.004852,            0.004852,            0.004852
                  41,            0.032635,            0.043783,           0.0022416,             0.57517,             0.70933,              0.6123,             0.36758,             0.03715,            0.071213,           0.0030665,             0.00472,             0.00472,             0.00472
                  42,            0.033422,            0.044448,           0.0023312,             0.56127,             0.68042,             0.60589,             0.37088,            0.037582,            0.073391,           0.0030425,            0.004588,            0.004588,            0.004588
                  43,            0.033687,            0.046321,           0.0023329,             0.56289,             0.67599,             0.60398,             0.36402,            0.036837,            0.070879,           0.0034699,            0.004456,            0.004456,            0.004456
                  44,            0.032001,            0.042898,           0.0021749,             0.56057,              0.7087,             0.58685,             0.36545,            0.036746,            0.074232,           0.0035543,            0.004324,            0.004324,            0.004324
                  45,            0.032278,            0.042377,           0.0021427,              0.5936,             0.66603,             0.60224,             0.36143,            0.038911,            0.075384,           0.0035388,            0.004192,            0.004192,            0.004192
                  46,            0.032247,            0.043288,           0.0022713,             0.52647,             0.67317,             0.59846,             0.37042,            0.037215,            0.078765,           0.0036472,             0.00406,             0.00406,             0.00406
                  47,            0.031795,            0.040346,           0.0021152,             0.57192,             0.63201,             0.59921,             0.37073,            0.037559,            0.080546,           0.0037376,            0.003928,            0.003928,            0.003928
